node1,node2,Subtype1,Subtype2,Type,EdgeLabel,Source,key
NGF,NTRK1,activation,,pp,-->,hsa04010,hsa040101
NGF,MTC,activation,,pp,-->,hsa04010,hsa040102
NGF,TRK,activation,,pp,-->,hsa04010,hsa040103
NGF,TRK1,activation,,pp,-->,hsa04010,hsa040104
NGF,TRKA,activation,,pp,-->,hsa04010,hsa040105
NGF,Trk-A,activation,,pp,-->,hsa04010,hsa040106
NGF,p140-TrkA,activation,,pp,-->,hsa04010,hsa040107
Beta-NGF,NTRK1,activation,,pp,-->,hsa04010,hsa040108
Beta-NGF,MTC,activation,,pp,-->,hsa04010,hsa040109
Beta-NGF,TRK,activation,,pp,-->,hsa04010,hsa0401010
Beta-NGF,TRK1,activation,,pp,-->,hsa04010,hsa0401011
Beta-NGF,TRKA,activation,,pp,-->,hsa04010,hsa0401012
Beta-NGF,Trk-A,activation,,pp,-->,hsa04010,hsa0401013
Beta-NGF,p140-TrkA,activation,,pp,-->,hsa04010,hsa0401014
HSAN5,NTRK1,activation,,pp,-->,hsa04010,hsa0401015
HSAN5,MTC,activation,,pp,-->,hsa04010,hsa0401016
HSAN5,TRK,activation,,pp,-->,hsa04010,hsa0401017
HSAN5,TRK1,activation,,pp,-->,hsa04010,hsa0401018
HSAN5,TRKA,activation,,pp,-->,hsa04010,hsa0401019
HSAN5,Trk-A,activation,,pp,-->,hsa04010,hsa0401020
HSAN5,p140-TrkA,activation,,pp,-->,hsa04010,hsa0401021
NGFB,NTRK1,activation,,pp,-->,hsa04010,hsa0401022
NGFB,MTC,activation,,pp,-->,hsa04010,hsa0401023
NGFB,TRK,activation,,pp,-->,hsa04010,hsa0401024
NGFB,TRK1,activation,,pp,-->,hsa04010,hsa0401025
NGFB,TRKA,activation,,pp,-->,hsa04010,hsa0401026
NGFB,Trk-A,activation,,pp,-->,hsa04010,hsa0401027
NGFB,p140-TrkA,activation,,pp,-->,hsa04010,hsa0401028
BDNF,NTRK1,activation,,pp,-->,hsa04010,hsa0401029
BDNF,MTC,activation,,pp,-->,hsa04010,hsa0401030
BDNF,TRK,activation,,pp,-->,hsa04010,hsa0401031
BDNF,TRK1,activation,,pp,-->,hsa04010,hsa0401032
BDNF,TRKA,activation,,pp,-->,hsa04010,hsa0401033
BDNF,Trk-A,activation,,pp,-->,hsa04010,hsa0401034
BDNF,p140-TrkA,activation,,pp,-->,hsa04010,hsa0401035
ANON2,NTRK1,activation,,pp,-->,hsa04010,hsa0401036
ANON2,MTC,activation,,pp,-->,hsa04010,hsa0401037
ANON2,TRK,activation,,pp,-->,hsa04010,hsa0401038
ANON2,TRK1,activation,,pp,-->,hsa04010,hsa0401039
ANON2,TRKA,activation,,pp,-->,hsa04010,hsa0401040
ANON2,Trk-A,activation,,pp,-->,hsa04010,hsa0401041
ANON2,p140-TrkA,activation,,pp,-->,hsa04010,hsa0401042
BULN2,NTRK1,activation,,pp,-->,hsa04010,hsa0401043
BULN2,MTC,activation,,pp,-->,hsa04010,hsa0401044
BULN2,TRK,activation,,pp,-->,hsa04010,hsa0401045
BULN2,TRK1,activation,,pp,-->,hsa04010,hsa0401046
BULN2,TRKA,activation,,pp,-->,hsa04010,hsa0401047
BULN2,Trk-A,activation,,pp,-->,hsa04010,hsa0401048
BULN2,p140-TrkA,activation,,pp,-->,hsa04010,hsa0401049
NTF3,NTRK1,activation,,pp,-->,hsa04010,hsa0401050
NTF3,MTC,activation,,pp,-->,hsa04010,hsa0401051
NTF3,TRK,activation,,pp,-->,hsa04010,hsa0401052
NTF3,TRK1,activation,,pp,-->,hsa04010,hsa0401053
NTF3,TRKA,activation,,pp,-->,hsa04010,hsa0401054
NTF3,Trk-A,activation,,pp,-->,hsa04010,hsa0401055
NTF3,p140-TrkA,activation,,pp,-->,hsa04010,hsa0401056
HDNF,NTRK1,activation,,pp,-->,hsa04010,hsa0401057
HDNF,MTC,activation,,pp,-->,hsa04010,hsa0401058
HDNF,TRK,activation,,pp,-->,hsa04010,hsa0401059
HDNF,TRK1,activation,,pp,-->,hsa04010,hsa0401060
HDNF,TRKA,activation,,pp,-->,hsa04010,hsa0401061
HDNF,Trk-A,activation,,pp,-->,hsa04010,hsa0401062
HDNF,p140-TrkA,activation,,pp,-->,hsa04010,hsa0401063
NGF-2,NTRK1,activation,,pp,-->,hsa04010,hsa0401064
NGF-2,MTC,activation,,pp,-->,hsa04010,hsa0401065
NGF-2,TRK,activation,,pp,-->,hsa04010,hsa0401066
NGF-2,TRK1,activation,,pp,-->,hsa04010,hsa0401067
NGF-2,TRKA,activation,,pp,-->,hsa04010,hsa0401068
NGF-2,Trk-A,activation,,pp,-->,hsa04010,hsa0401069
NGF-2,p140-TrkA,activation,,pp,-->,hsa04010,hsa0401070
NGF2,NTRK1,activation,,pp,-->,hsa04010,hsa0401071
NGF2,MTC,activation,,pp,-->,hsa04010,hsa0401072
